index,count f,candidates f,True_Value f,count g,candidates g,True_Value g
0,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
1,1,"(-1,)","(-1,)",1,"(1,)","(1,)"
2,1,"(1,)","(1,)",1,"(0,)","(0,)"
3,1,"(2,)","(2,)",1,"(0,)","(0,)"
4,1,"(2,)","(2,)",1,"(1,)","(1,)"
5,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
6,1,"(-2,)","(-2,)",1,"(-1,)","(-1,)"
7,1,"(0,)","(0,)",1,"(2,)","(2,)"
8,1,"(1,)","(1,)",1,"(1,)","(1,)"
9,1,"(-1,)","(-1,)",4,"(-6, -2, -1, 1)","(-2,)"
10,1,"(0,)","(0,)",5,"(-10, -1, 1, 2, 9)","(2,)"
11,11,"(-10, -5, -3, -1, 1, 2, 3, 4, 5, 6, 7)","(-1,)",1,"(1,)","(1,)"
12,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
13,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
14,1,"(1,)","(1,)",1,"(-1,)","(-1,)"
15,1,"(1,)","(1,)",1,"(-1,)","(-1,)"
16,1,"(-2,)","(-2,)",1,"(-1,)","(-1,)"
17,1,"(1,)","(1,)",1,"(0,)","(0,)"
18,1,"(0,)","(0,)",1,"(1,)","(1,)"
19,1,"(0,)","(0,)",1,"(-2,)","(-2,)"
20,1,"(-1,)","(-1,)",1,"(1,)","(1,)"
21,1,"(2,)","(2,)",1,"(-1,)","(-1,)"
22,1,"(0,)","(0,)",1,"(1,)","(1,)"
23,1,"(0,)","(0,)",1,"(2,)","(2,)"
24,1,"(-2,)","(-2,)",1,"(1,)","(1,)"
25,1,"(1,)","(1,)",6,"(-8, -6, -1, 6, 7, 8)","(-1,)"
26,1,"(1,)","(1,)",1,"(-1,)","(-1,)"
27,1,"(-1,)","(-1,)",1,"(1,)","(1,)"
28,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
29,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
30,1,"(0,)","(0,)",1,"(0,)","(0,)"
31,1,"(-1,)","(-1,)",1,"(1,)","(1,)"
32,1,"(-2,)","(-2,)",1,"(1,)","(1,)"
33,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
34,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
35,1,"(-2,)","(-2,)",1,"(1,)","(1,)"
36,1,"(-1,)","(-1,)",1,"(1,)","(1,)"
37,1,"(1,)","(1,)",4,"(-3, -1, 4, 7)","(-3,)"
38,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
39,1,"(0,)","(0,)",1,"(1,)","(1,)"
40,1,"(0,)","(0,)",1,"(0,)","(0,)"
41,6,"(-6, -5, -3, -1, 1, 4)","(1,)",1,"(0,)","(0,)"
42,1,"(1,)","(1,)",1,"(0,)","(0,)"
43,1,"(1,)","(1,)",1,"(-1,)","(-1,)"
44,1,"(1,)","(1,)",1,"(0,)","(0,)"
45,1,"(-2,)","(-2,)",1,"(2,)","(2,)"
46,1,"(-1,)","(-1,)",1,"(-2,)","(-2,)"
47,1,"(-1,)","(-1,)",1,"(1,)","(1,)"
48,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
49,1,"(-2,)","(-2,)",1,"(0,)","(0,)"
50,1,"(1,)","(1,)",1,"(-2,)","(-2,)"
51,1,"(-1,)","(-1,)",1,"(2,)","(2,)"
52,1,"(0,)","(0,)",1,"(0,)","(0,)"
53,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
54,1,"(-2,)","(-2,)",1,"(1,)","(1,)"
55,1,"(1,)","(1,)",1,"(1,)","(1,)"
56,8,"(-5, -4, -3, -1, 2, 3, 5, 8)","(-1,)",1,"(-2,)","(-2,)"
57,1,"(0,)","(0,)",1,"(1,)","(1,)"
58,1,"(0,)","(0,)",4,"(-8, 1, 4, 5)","(1,)"
59,1,"(0,)","(0,)",1,"(-3,)","(-3,)"
60,1,"(2,)","(2,)",1,"(0,)","(0,)"
61,1,"(1,)","(1,)",1,"(-2,)","(-2,)"
62,1,"(0,)","(0,)",1,"(3,)","(3,)"
63,6,"(-2, 0, 1, 4, 5, 10)","(0,)",1,"(2,)","(2,)"
64,1,"(3,)","(3,)",7,"(-8, -5, -4, -3, -1, 2, 6)","(-1,)"
65,1,"(0,)","(0,)",1,"(1,)","(1,)"
66,1,"(1,)","(1,)",1,"(0,)","(0,)"
67,1,"(0,)","(0,)",1,"(0,)","(0,)"
68,1,"(1,)","(1,)",1,"(0,)","(0,)"
69,1,"(1,)","(1,)",1,"(-1,)","(-1,)"
70,1,"(1,)","(1,)",4,"(2, 3, 7, 9)","(3,)"
71,1,"(-2,)","(-2,)",1,"(0,)","(0,)"
72,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
73,4,"(-4, -3, 0, 4)","(0,)",1,"(0,)","(0,)"
74,1,"(-2,)","(-2,)",1,"(1,)","(1,)"
75,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
76,1,"(1,)","(1,)",1,"(-1,)","(-1,)"
77,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
78,1,"(0,)","(0,)",1,"(0,)","(0,)"
79,12,"(-7, -6, -5, -4, -3, 0, 1, 2, 4, 6, 7, 9)","(0,)",1,"(1,)","(1,)"
80,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
81,1,"(-1,)","(-1,)",1,"(2,)","(2,)"
82,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
83,6,"(-5, -3, -2, 2, 3, 6)","(2,)",1,"(-1,)","(-1,)"
84,1,"(-2,)","(-2,)",1,"(2,)","(2,)"
85,1,"(1,)","(1,)",1,"(-1,)","(-1,)"
86,1,"(2,)","(2,)",1,"(-2,)","(-2,)"
87,1,"(1,)","(1,)",1,"(-1,)","(-1,)"
88,1,"(0,)","(0,)",1,"(0,)","(0,)"
89,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
90,6,"(-9, -4, -1, 1, 3, 7)","(-1,)",1,"(0,)","(0,)"
91,1,"(2,)","(2,)",1,"(1,)","(1,)"
92,1,"(1,)","(1,)",1,"(-2,)","(-2,)"
93,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
94,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
95,1,"(-1,)","(-1,)",1,"(1,)","(1,)"
96,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
97,1,"(-2,)","(-2,)",1,"(-1,)","(-1,)"
98,1,"(0,)","(0,)",1,"(1,)","(1,)"
99,1,"(0,)","(0,)",1,"(0,)","(0,)"
