index,old_candidates,pruned_candidates
0,[-1],[-1]
1,[-1],[-1]
2,[1],[1]
3,[2],[2]
4,[2],[2]
5,[0],[0]
6,[-2],[-2]
7,[0],[0]
8,[1],[1]
9,[-1],[-1]
10,[0],[0]
11,"[-1, 1]","[-1, 1]"
12,[-1],[-1]
13,[0],[0]
14,[1],[1]
15,[1],[1]
16,[-2],[-2]
17,[1],[1]
18,[0],[0]
19,[0],[0]
20,[-1],[-1]
21,[2],[2]
22,[0],[0]
23,[0],[0]
24,[-2],[-2]
25,[1],[1]
26,[1],[1]
27,[-1],[-1]
28,[-1],[-1]
29,[-1],[-1]
30,[0],[0]
31,[-1],[-1]
32,[-2],[-2]
33,[-1],[-1]
34,[-1],[-1]
35,[-2],[-2]
36,[-1],[-1]
37,[1],[1]
38,[-1],[-1]
39,[0],[0]
40,[0],[0]
41,"[-6, -5, -3, -1, 1, 4]","[-6, -5, -3, -1, 1, 4]"
42,[1],[1]
43,[1],[1]
44,[1],[1]
45,[-2],[-2]
46,[-1],[-1]
47,[-1],[-1]
48,[-1],[-1]
49,[-2],[-2]
50,[1],[1]
51,[-1],[-1]
52,[0],[0]
53,[0],[0]
54,[-2],[-2]
55,[1],[1]
56,[-1],[-1]
57,[0],[0]
58,[0],[0]
59,[0],[0]
60,[2],[2]
61,[1],[1]
62,[0],[0]
63,[0],[0]
64,[3],[3]
65,[0],[0]
66,[1],[1]
67,[0],[0]
68,[1],[1]
69,[1],[1]
70,[1],[1]
71,[-2],[-2]
72,[-1],[-1]
73,[0],[0]
74,[-2],[-2]
75,[-1],[-1]
76,[1],[1]
77,[-1],[-1]
78,[0],[0]
79,[0],[0]
80,[-1],[-1]
81,[-1],[-1]
82,[-1],[-1]
83,"[-5, -3, -2, 2, 3, 6]","[-5, -3, -2, 2, 3, 6]"
84,[-2],[-2]
85,[1],[1]
86,[2],[2]
87,[1],[1]
88,[0],[0]
89,[-1],[-1]
90,[-1],[-1]
91,[2],[2]
92,[1],[1]
93,[-1],[-1]
94,[-1],[-1]
95,[-1],[-1]
96,[-1],[-1]
97,[-2],[-2]
98,[0],[0]
99,[0],[0]
100,[-1],[-1]
101,[-1],[-1]
102,[0],[0]
103,[-2],[-2]
104,[2],[2]
105,[0],[0]
106,[-2],[-2]
107,[0],[0]
108,[0],[0]
109,[1],[1]
110,[-1],[-1]
111,[0],[0]
112,[1],[1]
113,[0],[0]
114,[0],[0]
115,[-1],[-1]
116,"[-6, -1, 6]","[-6, -1, 6]"
117,[0],[0]
118,[1],[1]
119,[0],[0]
120,[1],[1]
121,[-1],[-1]
122,[0],[0]
123,[1],[1]
124,[-1],[-1]
125,[-2],[-2]
126,[0],[0]
127,"[-9, -4, -3, -2, 6, 7, 9]","[-9, -4, -3, -2, 6, 7, 9]"
128,[0],[0]
129,[0],[0]
130,[-2],[-2]
131,[1],[1]
132,[-1],[-1]
133,[-1],[-1]
134,[0],[0]
135,[0],[0]
136,[-1],[-1]
137,[2],[2]
138,[0],[0]
139,[0],[0]
140,[-1],[-1]
141,[-1],[-1]
142,[1],[1]
143,[1],[1]
144,[0],[0]
145,[-2],[-2]
146,[1],[1]
147,[0],[0]
148,[0],[0]
149,[-2],[-2]
150,[1],[1]
151,[0],[0]
152,[-1],[-1]
153,[-2],[-2]
154,[2],[2]
155,[1],[1]
156,[0],[0]
157,[2],[2]
158,"[-3, -2, -1, 6]","[-3, -2, -1, 6]"
159,[0],[0]
160,[-1],[-1]
161,[2],[2]
162,[0],[0]
163,[0],[0]
164,[0],[0]
165,[1],[1]
166,[1],[1]
167,[1],[1]
168,[0],[0]
169,[-2],[-2]
170,[0],[0]
171,[-1],[-1]
172,[0],[0]
173,[-1],[-1]
174,[1],[1]
175,[-2],[-2]
176,[-1],[-1]
177,[0],[0]
178,[3],[3]
179,"[-10, -8, -3, -1, 5]","[-10, -8, -3, -1, 5]"
180,[-1],[-1]
181,[-2],[-2]
182,[-1],[-1]
183,[2],[2]
184,[0],[0]
185,[0],[0]
186,[0],[0]
187,[2],[2]
188,[1],[1]
189,[-1],[-1]
190,[0],[0]
191,[-1],[-1]
192,[0],[0]
193,[-1],[-1]
194,[0],[0]
195,[0],[0]
196,"[-1, 1]","[-1, 1]"
197,[-1],[-1]
198,[2],[2]
199,[1],[1]
200,[0],[0]
201,[-1],[-1]
202,[1],[1]
203,[-1],[-1]
204,[0],[0]
205,[0],[0]
206,"[-7, -5, -4, -1, 10]","[-7, -5, -4, -1, 10]"
207,[0],[0]
208,[0],[0]
209,"[-9, -6, 1, 3, 7, 8]","[-9, -6, 1, 3, 7, 8]"
210,[0],[0]
211,[1],[1]
212,[0],[0]
213,[1],[1]
214,[-1],[-1]
215,[1],[1]
216,[-1],[-1]
217,[1],[1]
218,[1],[1]
219,[-1],[-1]
220,[-1],[-1]
221,[-1],[-1]
222,[-1],[-1]
223,[0],[0]
224,[-1],[-1]
225,[1],[1]
226,[0],[0]
227,[0],[0]
228,[0],[0]
229,"[-7, -3, -2, 4]","[-7, -3, -2, 4]"
230,[0],[0]
231,[0],[0]
232,[-1],[-1]
233,[-2],[-2]
234,[-1],[-1]
235,[2],[2]
236,[2],[2]
237,[-2],[-2]
238,[-2],[-2]
239,[-1],[-1]
240,[0],[0]
241,[-2],[-2]
242,[0],[0]
243,[1],[1]
244,[2],[2]
245,[-1],[-1]
246,[0],[0]
247,[0],[0]
248,[-1],[-1]
249,[0],[0]
250,"[-5, -1, 2, 3, 7]","[-5, -1, 2, 3, 7]"
251,[-1],[-1]
252,[-2],[-2]
253,[-1],[-1]
254,[1],[1]
255,[-1],[-1]
256,[0],[0]
257,[-1],[-1]
258,[2],[2]
259,[0],[0]
260,[1],[1]
261,[0],[0]
262,[1],[1]
263,[0],[0]
264,[0],[0]
265,[0],[0]
266,[-1],[-1]
267,[1],[1]
268,[-2],[-2]
269,[-1],[-1]
270,[-1],[-1]
271,[0],[0]
272,[0],[0]
273,[0],[0]
274,[-1],[-1]
275,[0],[0]
276,"[-7, -6, -2, -1, 1, 3]","[-1, 1]"
277,[-2],[-2]
278,[-1],[-1]
279,[1],[1]
280,[-1],[-1]
281,[2],[2]
282,[-2],[-2]
283,[0],[0]
284,[2],[2]
285,[0],[0]
286,[1],[1]
287,[2],[2]
288,[-1],[-1]
289,[0],[0]
290,[2],[2]
291,[-4],[-4]
292,[0],[0]
293,[-2],[-2]
294,[0],[0]
295,[0],[0]
296,[1],[1]
297,[-1],[-1]
298,[-1],[-1]
299,[0],[0]
300,[-1],[-1]
301,[0],[0]
302,"[-6, -3, 1, 3, 5, 6]",[1]
303,[-2],[-2]
304,[-1],[-1]
305,[2],[2]
306,[2],[2]
307,[0],[0]
308,[1],[1]
309,[0],[0]
310,[1],[1]
311,[0],[0]
312,[1],[1]
313,[-1],[-1]
314,[-1],[-1]
315,[-1],[-1]
316,[0],[0]
317,[0],[0]
318,[0],[0]
319,[-1],[-1]
320,[-2],[-2]
321,[0],[0]
322,[-1],[-1]
323,[2],[2]
324,[0],[0]
325,[-1],[-1]
326,[2],[2]
327,[1],[1]
328,[2],[2]
329,[0],[0]
330,[-1],[-1]
331,[0],[0]
332,[0],[0]
333,[-2],[-2]
334,[0],[0]
335,[0],[0]
336,[2],[2]
337,[-2],[-2]
338,[-1],[-1]
339,"[-3, -1, 1, 2, 6]",[-1]
340,"[-10, -2, -1, 3, 4]","[-10, -2, -1, 3, 4]"
341,"[-7, 1, 5]","[-7, 1, 5]"
342,[-3],[-3]
343,[0],[0]
344,[0],[0]
345,[0],[0]
346,[2],[2]
347,"[-1, 1]","[-1, 1]"
348,[0],[0]
349,[0],[0]
350,[2],[2]
351,[0],[0]
352,[0],[0]
353,[-1],[-1]
354,[0],[0]
355,[1],[1]
356,[-1],[-1]
357,[-1],[-1]
358,[-2],[-2]
359,[1],[1]
360,[-2],[-2]
361,[0],[0]
362,[0],[0]
363,[0],[0]
364,[0],[0]
365,[1],[1]
366,[1],[1]
367,[-1],[-1]
368,[2],[2]
369,[1],[1]
370,[3],[3]
371,[0],[0]
372,[0],[0]
373,[-1],[-1]
374,[1],[1]
375,[2],[2]
376,"[-3, -2, 7]","[-3, -2, 7]"
377,[0],[0]
378,"[-6, -2, -1, 1, 2]","[-6, -2, -1, 1, 2]"
379,[-2],[-2]
380,[1],[1]
381,[-1],[-1]
382,[0],[0]
383,[2],[2]
384,[-1],[-1]
385,[-2],[-2]
386,[-1],[-1]
387,[1],[1]
388,[-1],[-1]
389,[0],[0]
390,[-1],[-1]
391,[1],[1]
392,[0],[0]
393,[-1],[-1]
394,[0],[0]
395,[2],[2]
396,[-1],[-1]
397,[1],[1]
398,[2],[2]
399,[0],[0]
400,[0],[0]
401,[2],[2]
402,[1],[1]
403,[0],[0]
404,[0],[0]
405,[2],[2]
406,[-1],[-1]
407,[-3],[-3]
408,[-2],[-2]
409,[1],[1]
410,[-1],[-1]
411,[0],[0]
412,[1],[1]
413,[-1],[-1]
414,[0],[0]
415,[2],[2]
416,[-1],[-1]
417,[1],[1]
418,[-1],[-1]
419,[1],[1]
420,[0],[0]
421,[0],[0]
422,[1],[1]
423,[-1],[-1]
424,[1],[1]
425,[0],[0]
426,[2],[2]
427,[-1],[-1]
428,[0],[0]
429,[0],[0]
430,[-1],[-1]
431,[-3],[-3]
432,[0],[0]
433,[1],[1]
434,[-1],[-1]
435,[0],[0]
436,[-2],[-2]
437,[1],[1]
438,[-1],[-1]
439,[2],[2]
440,[1],[1]
441,[-2],[-2]
442,[0],[0]
443,[-1],[-1]
444,[1],[1]
445,[1],[1]
446,[1],[1]
447,[-1],[-1]
448,[2],[2]
449,[0],[0]
450,[-1],[-1]
451,[0],[0]
452,[2],[2]
453,[1],[1]
454,[1],[1]
455,[0],[0]
456,[-1],[-1]
457,[0],[0]
458,[1],[1]
459,[1],[1]
460,[-1],[-1]
461,[-1],[-1]
462,[1],[1]
463,[1],[1]
464,[1],[1]
465,[-2],[-2]
466,[-2],[-2]
467,[0],[0]
468,[-1],[-1]
469,[0],[0]
470,[1],[1]
471,[0],[0]
472,[-2],[-2]
473,[1],[1]
474,[2],[2]
475,[-2],[-2]
476,[-1],[-1]
477,[0],[0]
478,[0],[0]
479,[0],[0]
480,[0],[0]
481,[-2],[-2]
482,[0],[0]
483,[-1],[-1]
484,[0],[0]
485,[-1],[-1]
486,[-2],[-2]
487,[-1],[-1]
488,[1],[1]
489,[-1],[-1]
490,[0],[0]
491,[0],[0]
492,[2],[2]
493,[0],[0]
494,[-1],[-1]
495,[1],[1]
496,[1],[1]
497,[0],[0]
498,[-1],[-1]
499,[1],[1]
500,[1],[1]
501,[1],[1]
502,[0],[0]
503,[2],[2]
504,[2],[2]
505,[1],[1]
506,[-1],[-1]
507,[-1],[-1]
508,[2],[2]
509,[0],[0]
510,[1],[1]
511,[0],[0]
