index,old_candidates,pruned_candidates
0,[0],[0]
1,[1],[1]
2,[0],[0]
3,[0],[0]
4,[1],[1]
5,[-1],[-1]
6,[-1],[-1]
7,[2],[2]
8,[1],[1]
9,"[-6, -2, -1, 1]","[-6, -2, -1, 1]"
10,"[-10, -1, 1, 2, 9]","[-10, -1, 1, 2, 9]"
11,[1],[1]
12,[-1],[-1]
13,[-1],[-1]
14,[-1],[-1]
15,[-1],[-1]
16,[-1],[-1]
17,[0],[0]
18,[1],[1]
19,[-2],[-2]
20,[1],[1]
21,[-1],[-1]
22,[1],[1]
23,[2],[2]
24,[1],[1]
25,"[-8, -6, -1, 6, 7, 8]","[-8, -6, -1, 6, 7, 8]"
26,[-1],[-1]
27,[1],[1]
28,[0],[0]
29,[-1],[-1]
30,[0],[0]
31,[1],[1]
32,[1],[1]
33,[0],[0]
34,[-1],[-1]
35,[1],[1]
36,[1],[1]
37,"[-3, -1, 4, 7]","[-3, -1, 4, 7]"
38,[0],[0]
39,[1],[1]
40,[0],[0]
41,[0],[0]
42,[0],[0]
43,[-1],[-1]
44,[0],[0]
45,[2],[2]
46,[-2],[-2]
47,[1],[1]
48,[-1],[-1]
49,[0],[0]
50,[-2],[-2]
51,[2],[2]
52,[0],[0]
53,[-1],[-1]
54,[1],[1]
55,[1],[1]
56,[-2],[-2]
57,[1],[1]
58,"[-8, 1, 4, 5]","[-8, 1, 4, 5]"
59,[-3],[-3]
60,[0],[0]
61,[-2],[-2]
62,[3],[3]
63,[2],[2]
64,"[-8, -5, -4, -3, -1, 2, 6]",[-1]
65,[1],[1]
66,[0],[0]
67,[0],[0]
68,[0],[0]
69,[-1],[-1]
70,"[2, 3, 7, 9]","[2, 3, 7, 9]"
71,[0],[0]
72,[-1],[-1]
73,[0],[0]
74,[1],[1]
75,[0],[0]
76,[-1],[-1]
77,[0],[0]
78,[0],[0]
79,[1],[1]
80,[-1],[-1]
81,[2],[2]
82,[0],[0]
83,[-1],[-1]
84,[2],[2]
85,[-1],[-1]
86,[-2],[-2]
87,[-1],[-1]
88,[0],[0]
89,[-1],[-1]
90,[0],[0]
91,[1],[1]
92,[-2],[-2]
93,[0],[0]
94,[-1],[-1]
95,[1],[1]
96,[0],[0]
97,[-1],[-1]
98,[1],[1]
99,[0],[0]
100,[0],[0]
101,[-1],[-1]
102,[0],[0]
103,[1],[1]
104,[0],[0]
105,[0],[0]
106,[0],[0]
107,[1],[1]
108,[0],[0]
109,[0],[0]
110,[-2],[-2]
111,[0],[0]
112,[0],[0]
113,[-2],[-2]
114,[-1],[-1]
115,[-1],[-1]
116,[-3],[-3]
117,[2],[2]
118,[2],[2]
119,[1],[1]
120,[2],[2]
121,[2],[2]
122,[1],[1]
123,[-1],[-1]
124,[-1],[-1]
125,[0],[0]
126,[0],[0]
127,[0],[0]
128,[1],[1]
129,[2],[2]
130,[-2],[-2]
131,[-1],[-1]
132,[0],[0]
133,[1],[1]
134,[0],[0]
135,[-1],[-1]
136,[0],[0]
137,[1],[1]
138,[1],[1]
139,[0],[0]
140,[0],[0]
141,[-1],[-1]
142,[0],[0]
143,[1],[1]
144,[0],[0]
145,[0],[0]
146,[1],[1]
147,[2],[2]
148,[0],[0]
149,[0],[0]
150,[2],[2]
151,[1],[1]
152,[-2],[-2]
153,[-1],[-1]
154,[3],[3]
155,[-1],[-1]
156,[0],[0]
157,[0],[0]
158,[0],[0]
159,[0],[0]
160,[0],[0]
161,[2],[2]
162,[1],[1]
163,[2],[2]
164,[1],[1]
165,[0],[0]
166,[1],[1]
167,[-2],[-2]
168,[-1],[-1]
169,[-1],[-1]
170,[0],[0]
171,[-1],[-1]
172,[1],[1]
173,[-1],[-1]
174,[1],[1]
175,[-1],[-1]
176,[2],[2]
177,"[-6, -1, 5]","[-6, -1, 5]"
178,[2],[2]
179,[-2],[-2]
180,"[-5, -4, -3, -2, 4, 6]","[-5, -4, -3, -2, 4, 6]"
181,[-1],[-1]
182,[2],[2]
183,[0],[0]
184,[0],[0]
185,[2],[2]
186,[-1],[-1]
187,[1],[1]
188,[0],[0]
189,[0],[0]
190,"[-6, -5, -2, 2, 3, 6]","[-6, -5, -2, 2, 3, 6]"
191,[-2],[-2]
192,[0],[0]
193,"[-9, -8, -7, -1, 1, 2, 3, 5]","[-9, -8, -7, -1, 1, 2, 3, 5]"
194,[0],[0]
195,[-2],[-2]
196,[-2],[-2]
197,[0],[0]
198,[0],[0]
199,[0],[0]
200,[-1],[-1]
201,[0],[0]
202,[1],[1]
203,[0],[0]
204,[-1],[-1]
205,[-1],[-1]
206,[-1],[-1]
207,[0],[0]
208,[-1],[-1]
209,[0],[0]
210,[-4],[-4]
211,[1],[1]
212,[-1],[-1]
213,[-2],[-2]
214,[0],[0]
215,[0],[0]
216,[-1],[-1]
217,[1],[1]
218,[1],[1]
219,[0],[0]
220,[0],[0]
221,[0],[0]
222,[0],[0]
223,[0],[0]
224,[0],[0]
225,"[-7, -5, -3, -2, 1]","[-7, -5, -3, -2, 1]"
226,"[-4, -2, 1, 2, 3, 5]","[-4, -2, 1, 2, 3, 5]"
227,[3],[3]
228,[-2],[-2]
229,[0],[0]
230,[0],[0]
231,[1],[1]
232,[1],[1]
233,[0],[0]
234,[3],[3]
235,[0],[0]
236,[0],[0]
237,[1],[1]
238,[-1],[-1]
239,[0],[0]
240,[0],[0]
241,[0],[0]
242,[-1],[-1]
243,[-2],[-2]
244,[0],[0]
245,[2],[2]
246,[0],[0]
247,[2],[2]
248,[-1],[-1]
249,[-1],[-1]
250,[0],[0]
251,[-1],[-1]
252,[0],[0]
253,[0],[0]
254,[0],[0]
255,[-1],[-1]
256,[-1],[-1]
257,[0],[0]
258,[0],[0]
259,[1],[1]
260,[-1],[-1]
261,[0],[0]
262,[1],[1]
263,[-3],[-3]
264,[2],[2]
265,[0],[0]
266,[1],[1]
267,[-1],[-1]
268,[0],[0]
269,[-2],[-2]
270,[1],[1]
271,[-2],[-2]
272,[2],[2]
273,[-2],[-2]
274,"[-6, -1, 1, 2, 5]",[1]
275,[0],[0]
276,[-3],[-3]
277,[1],[1]
278,[-3],[-3]
279,[1],[1]
280,[-2],[-2]
281,[2],[2]
282,[2],[2]
283,[0],[0]
284,[0],[0]
285,[-1],[-1]
286,[-2],[-2]
287,[0],[0]
288,[1],[1]
289,[0],[0]
290,[2],[2]
291,[3],[3]
292,[1],[1]
293,[0],[0]
294,[-1],[-1]
295,[2],[2]
296,[0],[0]
297,[0],[0]
298,[-2],[-2]
299,[0],[0]
300,[-1],[-1]
301,[1],[1]
302,[-2],[-2]
303,[-1],[-1]
304,"[-6, 2, 6, 7, 8]","[-6, 2, 6, 7, 8]"
305,[0],[0]
306,[1],[1]
307,[0],[0]
308,[-1],[-1]
309,[0],[0]
310,[0],[0]
311,[-2],[-2]
312,[-1],[-1]
313,[0],[0]
314,[0],[0]
315,[-1],[-1]
316,[0],[0]
317,[1],[1]
318,[-2],[-2]
319,[3],[3]
320,[-1],[-1]
321,[2],[2]
322,[-1],[-1]
323,[0],[0]
324,[0],[0]
325,[2],[2]
326,[-1],[-1]
327,[1],[1]
328,[0],[0]
329,[1],[1]
330,[0],[0]
331,[-2],[-2]
332,[-1],[-1]
333,[2],[2]
334,[-1],[-1]
335,[-3],[-3]
336,[-2],[-2]
337,[0],[0]
338,[1],[1]
339,[0],[0]
340,[1],[1]
341,[0],[0]
342,[-1],[-1]
343,[-2],[-2]
344,[0],[0]
345,[0],[0]
346,[2],[2]
347,[0],[0]
348,[-2],[-2]
349,[-1],[-1]
350,[1],[1]
